word,phonetic,meaning,example,level,frequency,initial_delay_days
diet,/'daiət/,"n. 日常饮食, 议会；vt. 照规定饮食；vi. 忌食",,CET4,8036,56
strongly,/'strɒŋli/,"adv. 强有力地, 坚强地, 激烈地",,CET4,8035,56
rapidly,/'ræpidli/,"adv. 飞快地, 迅速地, 赶紧地",,CET4,8033,56
comparison,/kəm'pærisn/,"n. 比较, 对照, 比喻",,CET4,8032,57
resolution,/.rezə'lu:ʃən/,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解；n. 图形分辨率",,CET4,8032,57
witness,/'witnis/,"n. 证人, 目击者, 证据, 证词；vt. 目击, 作证, 证明, 表明；vi. 作证人, 作为证据",,CET4,8030,57
barely,/'bєəli/,adv. 几乎不,,CET4,8027,57
plenty,/'plenti/,"n. 充分, 很多, 丰富；a. 很多的, 足够的, 丰富的",,CET4,8023,57
achievement,/ə'tʃi:vmənt/,"n. 完成, 成就, 功业",,CET4,8022,57
proud,/praud/,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的",,CET4,8017,57
faculty,/'fækəlti/,"n. 才能, 能力, 全体教员, (大学的)系",,CET4,8015,57
gap,/gæp/,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序；vt. 打开缺口, 造成缝隙；vi. 豁开",,CET4,8012,57
weak,/wi:k/,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的",,CET4,8010,57
definitely,/'definitli/,"adv. 明确无疑地, 清楚地",,CET4,8009,57
bomb,/bɒm/,"n. 炸弹；vt. 轰炸, 投弹于；vi. 失败",,CET4,8008,57
permanent,/'pə:mənənt/,"a. 永久的, 不变的, 固定的, 持久的；n. 烫发",,CET4,8007,57
enormous,/i'nɒ:məs/,"a. 巨大的, 庞大的",,CET4,8006,57
complaint,/kəm'pleint/,"n. 诉苦, 抱怨, 控诉",,CET4,8004,57
massive,/'mæsiv/,"a. 大而重的, 宽大的, 宏伟的",,CET4,8004,57
amongst,/ə'mʌŋst/,"prep. 在...当中, 在...之间, 在...之中",,CET4,8003,57
shock,/ʃɒk/,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗；vt. 使震动, 使休克, 使受电击, 震惊得；vi. 震动, 吓人；a. 蓬乱浓密的",,CET4,8002,57
wheel,/hwi:l/,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物；vt. 使旋转, 转动, 使转向；vi. 旋转, 转弯, 盘旋",,CET4,8001,57
decline,/di'klain/,"n. 衰退, 跌落, 下降；vt. 使降低, 婉谢；vi. 下降, 衰落, 偏斜",,CET4,8000,57
invest,/in'vest/,"vt. 投资, 花费, 笼罩, 授予；vi. 投资, 利用",,CET4,7999,58
passenger,/'pæsindʒə/,"n. 乘客, 旅客",,CET4,7999,58
odd,/ɒd/,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的；n. 奇特的事物, 怪人",,CET4,7998,58
cable,/'keibl/,"n. 电缆, 海底电报, 缆, 索；vi. 打海底电报；vt. 发海底电报, 缚住",,CET4,7997,58
via,/vaiə/,"prep. 经由, 经过, 通过",,CET4,7996,58
column,/'kɒləm/,"n. 专栏, 圆柱, 纵队, 列, 柱形物",,CET4,7993,58
charity,/'tʃæriti/,"n. 慈悲, 博爱, 慈善团体, 施舍",,CET4,7992,58
cream,/kri:m/,"n. 乳酪, 奶油, 面霜",,CET4,7992,58
territory,/'teritəri/,"n. 领土, 领地, 版图, 地区, 活动范围",,CET4,7991,58
independence,/.indi'pendəns/,"n. 独立, 自立, 自主",,CET4,7990,58
solid,/'sɒlid/,"n. 固体；a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的",,CET4,7989,58
manufacturer,/.mænju'fæktʃərə/,"n. 制造业者, 厂商",,CET4,7984,58
celebrate,/'selibreit/,"v. 庆祝, 祝贺, 举行",,CET4,7981,58
permit,/pə'mit/,"n. 许可证, 许可, 执照, 通行证；vt. 允许, 容许, 可能, 使放手做；vi. 容许, 给以机会, 提供可能",,CET4,7978,58
similarly,/'similəli/,"adv. 相像地, 类似于",,CET4,7976,58
corporation,/.kɒ:pə'reiʃən/,"n. 公司, 合作, 法人团体",,CET4,7975,58
tenant,/'tenənt/,"n. 承租人, 房客, 居住者；vt. 租借",,CET4,7971,58
talent,/'tælənt/,"n. 天才, 才能, 有才干的人, 天资",,CET4,7970,58
fundamental,/.fʌndə'mentəl/,"n. 基本原理, 原则, 基波；a. 基本的, 重要的, 原音的",,CET4,7969,58
taste,/teist/,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量；vt. 尝, 察觉...的味道, 体会；vi. 品尝, 察觉味道, 有某种味道",,CET4,7969,58
cast,/kɑ:st. kæst/,"n. 演员阵容, 投掷, 铸件, 预测, 特性；vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算；vi. 投, 计算, 浇铸成型",,CET4,7965,59
sharp,/ʃɑ:p/,"n. 半升音调, 利刃, 骗子；a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的；adv. 锐利地, 急速地",,CET4,7965,59
perfectly,/'pə:fiktli/,"adv. 完全地, 无瑕疵地, 完整地",,CET4,7964,59
convince,/kən'vins/,"vt. 说服, 使相信",,CET4,7961,59
quote,/kwəut/,"n. 引用；vt. 引述, 举证, 报(价)；vi. 引用",,CET4,7961,59
physician,/fi'ziʃən/,"n. 医师, 内科医师, 解除痛苦者",,CET4,7959,59
exception,/ik'sepʃən/,"n. 例外, 除外, 异议",,CET4,7955,59
accommodation,/ə.kɒmə'deiʃən/,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款",,CET4,7952,59
addition,/ə'diʃən/,"n. 加法, 增加的人(或物)",,CET4,7952,59
boundary,/'baundri/,"n. 边界, 分界线",,CET4,7950,59
creative,/kri:'eitiv/,"a. 有创造力的, 创作的, 产生的",,CET4,7950,59
lower,/'ləuə/,"a. 低的, 下级的, 下层的；vi. 降低, 跌落, 减弱；vt. 放下, 降下, 减弱, 贬低",,CET4,7948,59
gay,/gei/,"a. 欢快的, 艳丽的, 快乐的, 放荡的",,CET4,7944,59
abandon,/ə'bændən/,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵；n. 放任, 无拘束, 狂热",,CET4,7943,59
construct,/kən'strʌkt/,"vt. 构造, 建造, 对...进行构思, 作图；n. 构成物",,CET4,7942,59
campus,/'kæmpəs/,"n. 校园, 大学生活",,CET4,7941,59
guilty,/'gilti/,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的",,CET4,7939,59
compete,/kəm'pi:t/,"vi. 竞争, 对抗",,CET4,7935,59
dispute,/dis'pju:t/,n. 争论；v. 争论,,CET4,7934,59
inquiry,/in'kwaiəri/,"n. 质询, 探索, 调查, 询盘",,CET4,7933,59
kingdom,/'kiŋdəm/,"n. 王国, 领域",,CET4,7930,60
illegal,/i'li:gəl/,"a. 违法的, 不合规定的",,CET4,7929,60
fault,/fɒ:lt/,"n. 过错, 故障, 毛病；vt. 挑剔；vi. 产生断层, 弄错",,CET4,7924,60
personality,/.pə:sə'næliti/,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人",,CET4,7924,60
badly,/'bædli/,"adv. 严重地, 恶劣地, 极度地",,CET4,7922,60
phrase,/freiz/,"n. 惯用语, 词组, 成语, 措词, 乐句；vt. 用短语表达, 把(乐曲)分成短句",,CET4,7919,60
forever,/fə'revə/,adv. 永远,,CET4,7918,60
quantity,/'kwɒntəti/,"n. 量, 数量, 总量",,CET4,7918,60
unknown,/.ʌn'nəun/,"a. 不知道的, 未知的, 陌生的；n. 未知物, 未知数",,CET4,7913,60
naturally,/'nætʃərəli/,"adv. 自然地, 以自然力, 天生地",,CET4,7912,60
proceed,/prəu'si:d/,"vi. 继续进行, 进行, 开始, 发出, 起诉",,CET4,7911,60
wrap,/ræp/,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行；vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护；vi. 缠绕, 穿外衣, 包起来",,CET4,7910,60
preparation,/.prepə'reiʃən/,"n. 准备, 预备, 预习",,CET4,7909,60
interpret,/in'tə:prit/,"vt. 解释, 演出, 翻译, 理解；vi. 翻译, 解释",,CET4,7906,60
depression,/di'preʃən/,"n. 不景气, 消沉, 沮丧, 洼地",,CET4,7905,60
spiritual,/'spiritʃuəl/,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的；n. 有关教会的事",,CET4,7904,60
musical,/'mju:zikl/,"n. 音乐片, 音乐舞台剧；a. 音乐的, 声音美妙的, 喜爱音乐的",,CET4,7903,60
prayer,/prєə. 'preiə/,"n. 祈祷, 恳求, 祷辞, 祈祷者",,CET4,7902,60
secondary,/'sekəndəri/,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的",,CET4,7902,60
journalist,/'dʒə:nəlist/,"n. 新闻记者, 从事新闻杂志业的人",,CET4,7901,60
metre,/'mi:tə/,"n. 公尺, 格律, 韵律",,CET4,7901,61
dismiss,/dis'mis/,"vt. 解散, 开除, 解职；vi. 解散",,CET4,7900,61
suspect,/sə'spekt/,"n. 被怀疑者, 嫌疑犯；a. 令人怀疑的, 不可信的, 可疑的；v. 怀疑, 猜想",,CET4,7900,61
scholar,/'skɒlə/,"n. 学者, 奖学金获得者, 有文化者, 学习者",,CET4,7899,61
climate,/'klaimit/,"n. 气候, 社会趋势, 气候区",,CET4,7897,61
cheese,/tʃi:z/,n. 乳酪,,CET4,7896,61
childhood,/'tʃaildhud/,n. 孩童时期,,CET4,7893,61
cigarette,/.sigə'ret/,"n. 香烟, 纸烟",,CET4,7889,61
moreover,/mɒ:'əuvə/,"adv. 而且, 此外",,CET4,7889,61
subsequent,/'sʌbsikwənt/,"a. 后来的, 接下去的",,CET4,7887,61
graduate,/'grædʒueit/,"n. 毕业生, 量杯；a. 已得学位的, 研究生的, 毕业的；vi. 毕业, 得学位, 逐渐变为；vt. 准予...毕业, 授予...学位, 分等级, 刻刻度",,CET4,7885,61
emotion,/i'məuʃən/,"n. 情绪, 激动, 强烈的情感",,CET4,7883,61
scream,/skri:m/,"n. 尖叫声；vi. 尖叫, 大笑, 尖啸, 令人震惊；vt. 尖叫着说, 大叫大嚷着要求",,CET4,7882,61
universe,/'ju:nivə:s/,"n. 宇宙, 星系, (思想等)范围",,CET4,7880,61
alter,/'ɒ:ltə/,v. 改变,,CET4,7879,61
rarely,/'rєəli/,"adv. 很少地, 罕有地",,CET4,7878,61
extension,/ik'stenʃən/,"n. 延长, 扩充, 范围, 扩展名；a. 伸缩的",,CET4,7877,61
prize,/praiz/,"n. 奖赏, 奖金, 奖品, 战利品, 捕获；a. 得奖的；vt. 珍视, 估价, 捕获, 撬, 撬动",,CET4,7875,61
lucky,/'lʌki/,"a. 幸运的, 吉祥的, 好运的, 侥幸的",,CET4,7874,61
drag,/dræg/,"n. 拖, 拖累；v. 拖累, 拖拉, 沉重缓慢地走, 拖动",,CET4,7873,61
mill,/mil/,"n. 压榨机, 磨坊, 制造厂；vt. 碾磨, 磨细, 搅拌, 使乱转；vi. 乱转, 被碾磨",,CET4,7872,62
possess,/pə'zes/,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住",,CET4,7871,62
tower,/'tauə/,"n. 塔, 高楼, 堡垒；vi. 高耸, 翱翔",,CET4,7869,62
arrest,/ə'rest/,"n. 逮捕, 监禁；vt. 拘捕, 抑制, 吸引, 阻止",,CET4,7866,62
primarily,/'praimərili/,"adv. 主要地, 首先地",,CET4,7866,62
coat,/kəut/,"n. 外套；vt. 外面覆盖, 给...穿外套",,CET4,7862,62
schedule,/'skedʒuəl/,"n. 时间表, 一览表, 计划表, 议事日程；vt. 预定, 编制目录, 制...表, 安排",,CET4,7856,62
communist,/'kɒmjunist/,"n. 共产主义者, 共产党员",,CET4,7854,62
pollution,/pə'lu:ʃən/,"n. 污染, 玷污",,CET4,7853,62
constitution,/.kɒnsti'tju:ʃən/,"n. 构成, 宪法, 体格",,CET4,7852,62
implement,/'implimənt/,"n. 工具, 器具, 手段；vt. 实现, 使生效, 执行",,CET4,7851,62
purchase,/'pə:tʃəs/,"n. 购买, 购买品, 紧握, 绞辘；vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)",,CET4,7851,62
gene,/dʒi:n/,n. 基因,,CET4,7850,62
steel,/sti:l/,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固；a. 钢的, 钢制的, 钢铁业的, 坚强的；vt. 使坚强, 钢化, 使冷酷",,CET4,7848,62
regarding,/ri'gɑ:diŋ/,prep. 关于,,CET4,7847,62
visual,/'viʒuəl/,a. 视觉的,,CET4,7844,62
inch,/intʃ/,"n. 英寸, 身高, 小岛；vi. 慢慢前进, 慢慢移动；vt. 使缓慢地移动",,CET4,7842,62
violent,/'vaiələnt/,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的",,CET4,7842,62
depth,/depθ/,"n. 深度, 深处, 深奥",,CET4,7841,62
silent,/'sailənt/,"a. 沉默的, 安静的, 无声的, 静止的",,CET4,7840,62
assist,/ə'sist/,"n. 帮助, 协助；vt. 帮助, 促进；vi. 协助, 参加",,CET4,7838,63
self,/self/,"n. 自己, 自我, 本性, 本质, 私心, 本人；vt. 使近亲繁殖, 使自花授精；vi. 自花授精；a. 同一的",,CET4,7838,63
saving,/'seiviŋ/,"n. 存款, 挽救, 节约；a. 搭救的, 节约的, 保留的, 补偿的；prep. 除...之外",,CET4,7837,63
perceive,/pə'si:v/,"vt. 感觉, 认知, 理解, 意识到",,CET4,7835,63
port,/pɒ:t/,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义；vt. 左转舵, 持(枪)；vi. 左转舵",,CET4,7835,63
command,/kə'mɑ:nd/,"n. 命令, 指挥, 控制, 部队, 司令部；v. 命令, 指挥, 控制",,CET4,7834,63
calculate,/'kælkjuleit/,"v. 计算, 预测, 计划, 打算",,CET4,7832,63
layer,/'leiə/,"n. 层, 产卵鸡, 放置者；vt. 分层堆积, 压植",,CET4,7832,63
delivery,/di'livəri/,"n. 递送, 交付, 分娩, 交货, 引渡",,CET4,7831,63
string,/striŋ/,"n. 线, 细绳, 一串, 字符串；vt. 串起, 成串, 收紧, 缚, 扎；vi. 成一串",,CET4,7830,63
slide,/slaid/,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片；vt. 使滑动, 偷偷放入；vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走",,CET4,7826,63
boot,/bu:t/,"n. 长靴, 踢, 解雇, 效用；vt. 使穿靴, 踢, 解雇, 有用",,CET4,7824,63
wedding,/'wediŋ/,"n. 婚礼, 结婚, 结婚周年纪念日, 结合",,CET4,7824,63
framework,/'freimwə:k/,"n. 结构, 骨架, 参照标准, 准则, 观点",,CET4,7823,63
portion,/'pɒ:ʃən/,"n. 部分, 一份, 命运, 嫁妆；vt. 分配, 给...嫁妆",,CET4,7822,63
rose,/rəuz/,"n. 玫瑰, 蔷薇, 玫瑰色；a. 玫瑰色的, 玫瑰花的；vt. 使成玫瑰色；rise的过去式",,CET4,7821,63
poem,/'pəuim/,"n. 诗, 诗般美的事物",,CET4,7819,63
obligation,/.ɒbli'geiʃən/,"n. 义务, 责任, 约束, 契约, 恩惠, 债务",,CET4,7818,63
extensive,/ik'stensiv/,"a. 广的, 广泛的, 多方面的",,CET4,7816,63
transform,/træns'fɒ:m/,"vt. 使转换, 改变, 改造, 使...变形；vi. 改变, 转化, 变换",,CET4,7815,63
net,/net/,"n. 网, 网状物, 罗网, 净利, 净价；a. 净的, 最终的；vt. 用网捕, 撒网, 净赚, 得到；vi. 编网",,CET4,7811,64
alcohol,/'ælkəhɒl/,"n. 酒精, 酒",,CET4,7809,64
glance,/'glɑ:ns/,"n. 一瞥, 闪光, 掠过, 辉矿类；vi. 扫视, 闪光, 掠过, 提到, 略说；vt. 扫视, 反射, 使掠过",,CET4,7808,64
protein,/'prəuti:in/,n. 蛋白质；a. 蛋白质的,,CET4,7807,64
bend,/bend/,"vi. 变弯曲, 屈服；vt. 使弯曲, 使屈服；n. 弯曲",,CET4,7806,64
desert,/'dezət. di'sə:t/,"n. 沙漠, 应得的赏罚, 功劳；a. 沙漠的, 不毛的；vt. 放弃, 遗弃, 擅离；vi. 逃掉",,CET4,7804,64
maintenance,/'meintənəns/,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养",,CET4,7802,64
cycle,/'saikl/,"n. 周期, 循环, 自行车, 一段时间, 整套；vi. 循环, 轮转, 骑自行车；vt. 使循环, 使轮转",,CET4,7800,64
italian,/i'tæljən/,"n. 意大利人, 意大利语；a. 意大利的, 意大利语的",,CET4,7799,64
spanish,/'spæniʃ/,"n. 西班牙人, 西班牙语；a. 西班牙的",,CET4,7796,64
sand,/sænd/,"n. 沙, 沙子, 沙滩, 光阴, 生涯；vt. 撒沙, 以沙掩盖",,CET4,7795,64
print,/print/,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章；v. 打印, 印刷, 铭记, 留印记于, 用印刷体写",,CET4,7793,64
restrict,/ri'strikt/,"vt. 限制, 限定, 约束",,CET4,7793,64
recommendation,/.rekəmen'deiʃən/,"n. 推荐, 介绍, 推荐信, 劝告",,CET4,7792,64
preserve,/pri'zə:v/,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎；vi. 加工食品, 禁猎；n. 加工成的食品, 禁猎地, 保护区, 防护物",,CET4,7791,64
profession,/prə'feʃən/,"n. 职业, 表白, 声明",,CET4,7789,64
load,/ləud/,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载；vt. 装载, 装填, 使担负；vi. 装货, 上客, 装料",,CET4,7788,64
restore,/ri'stɒ:/,"vt. 回复, 恢复, 归还, 修补, 修复；vt. 还原；vi. 还原",,CET4,7783,64
mode,/məud/,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚",,CET4,7781,64
lock,/lɒk/,"n. 锁, 刹车, 水闸, 一缕头发；vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住；vi. 锁住, (齿轮等)啮合, (船)过闸",,CET4,7779,64
opposite,/'ɒpəzit/,"a. 相对的, 相反的, 对面的；prep. 对面；n. 对立面",,CET4,7778,65
approval,/ə'pru:vl/,"n. 赞成, 批准",,CET4,7777,65
cottage,/'kɒtidʒ/,"n. 小屋, 茅舍",,CET4,7776,65
deserve,/di'zə:v/,"vt. 该得到, 值得；vi. 应得报答",,CET4,7776,65
resistance,/ri'zistəns/,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻",,CET4,7774,65
restriction,/ri'strikʃən/,"n. 限制, 限定, 约束",,CET4,7774,65
boss,/bɒs/,"n. 老板, 上司, 岩瘤, 浮雕, 母牛；vt. 指挥, 控制, 浮雕",,CET4,7773,65
discovery,/dis'kʌvəri/,"n. 发现, 被发现的事物",,CET4,7773,65
exposure,/ik'spəuʒə/,"n. 暴露, 揭发, 揭露",,CET4,7771,65
protest,/prə'test/,"n. 抗议, 反对, 抗议书, 断言；v. 反对, 抗议, 断言",,CET4,7771,65
export,/ik'spɒ:t/,"n. 输出品, 输出；vt. 输出, 出口；vi. 输出物资",,CET4,7769,65
stream,/stri:m/,"n. 水流, 小河, 流出, 趋势, 人潮；vt. 流出, 流动, 展开；vi. 流, 涌, 飘扬",,CET4,7769,65
pot,/pɒt/,"n. 盆, 罐, 壶, 坩埚, 奖杯；vt. 装入盆中, 在锅中煮, 随手射击；vi. 随手射击",,CET4,7765,65
reputation,/.repju'teiʃən/,"n. 名誉, 名声, 声望",,CET4,7765,65
valuable,/'væljuəbl/,"a. 有价值的, 贵重的, 宝贵的, 可估价的",,CET4,7764,65
slight,/slait/,"n. 轻蔑, 怠慢；a. 轻微的, 纤细的, 脆弱的, 苗条的；vt. 轻视, 忽略, 怠慢",,CET4,7763,65
habit,/'hæbit/,"n. 习惯, 嗜好, 习性；vt. 使穿衣",,CET4,7761,65
tale,/teil/,"n. 故事, 谎言, 谣言, 陈述, 叙述",,CET4,7761,65
silver,/'silvə/,"n. 银, 银币, 银器；a. 银的, 银制的, 银器的；vt. 镀银；vi. 变银白色",,CET4,7756,65
joke,/dʒəuk/,"n. 笑话, 玩笑, 笑柄；v. 开玩笑, 取笑, 作弄",,CET4,7754,65
sudden,/'sʌdn/,"n. 突然, 忽然；a. 突然的, 意外的, 快速的",,CET4,7750,66
empire,/'empaiə/,"n. 帝国, 帝权",,CET4,7749,66
philosophy,/fi'lɒsəfi/,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着",,CET4,7748,66
relative,/'relətiv/,"n. 亲戚, 关系词；a. 有关系的, 相对的, 比较的",,CET4,7745,66
recovery,/ri'kʌvəri/,"n. 恢复, 复原, 痊愈, 重获",,CET4,7744,66
submit,/səb'mit/,"vt. 使服从, 使受到, 委托, 提交, 认为；vi. 屈服, 服从",,CET4,7741,66
seventy,/'sevnti/,"num. 七十, 七十个",,CET4,7739,66
urge,/ə:dʒ/,"n. 冲动, 推动力, 迫切的要求；vt. 驱策, 力劝, 竭力主张, 推动；vi. 强烈要求",,CET4,7739,66
dust,/dʌst/,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱；vt. 拂去灰尘, 撒, 弄成粉末；vi. 拂去灰尘, 化为粉末",,CET4,7737,66
voluntary,/'vɒləntəri/,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的；n. 自愿行动, 志愿者, 自由调",,CET4,7737,66
breathe,/bri:ð/,"vi. 呼吸, 生存, 低语；vt. 呼吸, 使喘息, 发散, 低声说",,CET4,7736,66
distinguish,/dis'tiŋgwiʃ/,"v. 区别, 辨别",,CET4,7735,66
jacket,/'dʒækit/,"n. 夹克, 外套, 护套；vt. 给...穿夹克, 给...装护套",,CET4,7733,66
creature,/'kri:tʃə/,"n. 人, 动物, 创造物, 生物",,CET4,7732,66
pack,/pæk/,"n. 包裹, 一伙, 一副, 背包, 包装；vt. 包装, 捆扎, 塞满, 压紧, 挑选；vi. 包装货物, 挤, 群集, 被包装",,CET4,7727,66
agriculture,/'ægrikʌltʃə/,n. 农业,,CET4,7726,66
input,/'input/,"n. 输入, 输入电路；vt. 输入",,CET4,7725,66
numerous,/'nju:mərəs/,"a. 很多的, 数目众多的, 多数的",,CET4,7725,66
substance,/'sʌbstəns/,"n. 物质, 实质, 主旨, 资产, 本质, 牢固",,CET4,7723,66
shortly,/'ʃɒ:tli/,"adv. 不久, 简短, 唐突地",,CET4,7722,66
keen,/ki:n/,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的；n. 挽歌, 痛哭；v. 唱挽歌, 痛哭",,CET4,7720,67
arrival,/ə'raivl/,"n. 到达, 抵达, 到达者",,CET4,7719,67
passion,/'pæʃən/,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)",,CET4,7717,67
volunteer,/.vɒlən'tiə/,n. 志愿者；a. 志愿的；v. 自愿,,CET4,7716,67
sauce,/sɒ:s/,"n. 酱油, 调味汁, 酱；vt. 给...调味, 使增加趣味",,CET4,7711,67
illness,/'ilnis/,"n. 疾病, 恶意",,CET4,7710,67
priest,/pri:st/,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗",,CET4,7707,67
intense,/in'tens/,"a. 非常的, 强烈的, 紧张的, 热情的",,CET4,7705,67
electricity,/.ilek'trisiti/,"n. 电, 电流, 电学, 热情, 电力供应",,CET4,7704,67
adjust,/ə'dʒʌst/,"vt. 调整, 使适应于, 校准；vi. 适应于, 被调节, 相互熟悉而适应",,CET4,7700,67
retire,/ri'taiə/,"n. 隐居；vi. 引退, 退役, 退休, 退去, 撤退, 退却；vt. 使...撤退, 辞退",,CET4,7699,67
kiss,/kis/,n. 吻；vt. 吻；vi. 接吻,,CET4,7698,67
visible,/'vizəbl/,"a. 看得见的, 明显的, 显然的；n. 可见物",,CET4,7696,67
cap,/kæp/,"n. 盖子, 帽子；vt. 戴帽子, 覆盖, 胜过；vi. 脱帽致意",,CET4,7694,67
efficiency,/i'fiʃənsi/,"n. 效率, 效能, 功效",,CET4,7694,67
frank,/fræŋk/,"a. 坦白的, 率直的, 老实的；vt. 免费邮寄；n. 免费邮寄特权",,CET4,7693,67
drama,/'drɑ:mə/,"n. 戏剧, 戏剧艺术",,CET4,7692,67
cake,/keik/,"n. 蛋糕, 块, 饼；vt. 使结块, 加块状物于；vi. 结块",,CET4,7691,67
wealth,/welθ/,"n. 财富, 资源, 财产, 丰富, 富裕, 大量",,CET4,7690,67
peak,/pi:k/,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌；a. 最高的, 最大值的；vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小；vt. 使竖起, 使达到最高点",,CET4,7688,67
pale,/peil/,"n. 栅栏, 界线, 范围；a. 苍白的, 暗淡的, 无力的；vi. 变苍白, 变暗, 失色；vt. 使变苍白, 使失色, 用栅栏围",,CET4,7685,68
analyze,/'ænəlaiz/,"vt. 分析, 细察, 分解",,CET4,7684,68
laboratory,/'læbrətəri/,"n. 实验室, 研究室, 化工厂",,CET4,7684,68
disaster,/di'zɑ:stə/,"n. 灾祸, 不幸, 彻底失败",,CET4,7679,68
owe,/əu/,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩；vi. 欠钱",,CET4,7677,68
mood,/mu:d/,"n. 心情, 气氛, 生气, 基调",,CET4,7676,68
bay,/bei/,"n. 海湾, 狗吠声, 月桂；vt. 吠, 使走投无路；vi. 吠",,CET4,7670,68
enhance,/in'hæns/,"vt. 提高, 加强, 增加",,CET4,7669,68
mystery,/'mistəri/,"n. 秘密, 神秘, 奥秘",,CET4,7668,68
poverty,/'pɒvəti/,"n. 贫穷, 贫困, 缺乏",,CET4,7667,68
possession,/pə'zeʃən/,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷",,CET4,7663,68
evaluate,/i'væljueit/,"vt. 评估, 评价, 赋值",,CET4,7661,68
symbol,/'simbl/,"n. 符号, 象征, 代号, 信条",,CET4,7660,68
certificate,/sə'tifikeit/,"n. 证书, 证明书；vt. 发给证明书, 用证书批准, 用证书证明",,CET4,7659,68
custom,/'kʌstəm/,"n. 习惯, 风俗, 海关, 自定义；a. 定制的",,CET4,7656,68
accomplish,/ə'kʌmpliʃ/,"vt. 完成, 达到, 实现, 使完美",,CET4,7655,68
angle,/'æŋgl/,"n. 角, 角度, 角落；vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度；vt. 使转动角度, 在...钓鱼, 获取",,CET4,7654,68
monitor,/'mɒnitə/,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物；v. 监视, 监听, 监督",,CET4,7651,68
entertainment,/.entə'teinmənt/,"n. 娱乐, 款待, 娱乐表演",,CET4,7650,68
bean,/bi:n/,n. 豆子,,CET4,7648,68
commander,/kə'mɑ:ndə/,"n. 司令官, 指挥官",,CET4,7645,69
dependent,/di'pendənt/,"n. 依赖他人者；a. 依赖的, 从属的",,CET4,7644,69
digital,/'didʒitəl/,"a. 数字显示的, 数字的；n. 数字仪表, 数字式电子表(或时钟)",,CET4,7644,69
expansion,/ik'spænʃən/,"n. 扩充, 开展, 膨胀",,CET4,7640,69
radical,/'rædikl/,"n. 激进分子, 词根, 基础, 根式, 根；a. 激进的, 根本的, 基本的, 根的",,CET4,7639,69
anger,/'æŋgə/,"n. 忿怒；vt. 激怒, 使发怒；vi. 发怒",,CET4,7638,69
approximately,/ə'prɒksimətli/,"adv. 大约, 大致, 近于",,CET4,7635,69
